GeneExpression,GTEX_Brain,TCGA_GM,TCGA_LGG
AADAT,9.002473498233215,8.388253012048192,8.824606118546845
ACMSD,1.3390855123674912,2.476477108433735,1.612674569789675
AFMID,9.317063604240282,9.109993975903615,8.970665391969407
GOT2,12.170212014134275,11.746807228915662,11.539579349904397
HAAO,5.4781484098939925,6.703234939759036,6.173663479923518
IDO1,0.5636936395759717,4.46796686746988,1.7677
IDO2,0.6703388692579505,0.5007295180722892,0.49098451242829827
KMO,6.378296819787986,6.064120481927711,3.8088770554493308
KYNU,4.300639575971731,7.1327228915662655,5.38742447418738
QPRT,9.69104593639576,10.066168674698796,9.553040152963671
TDO2,5.384035335689046,6.5324939759036145,3.9795091778202676
