"ID1","TrainClase1","TrainClase2","TrainGlobal","TestClase1","TestClase2","TestGlobal","Modelo","Nombre"
"Repeat01",100,100,100,97.389,85.896,94.0374,"Random Forest","RF 1"
"Repeat02",100,100,100,97.2442,86.2282,94.038,"Random Forest","RF 1"
"Repeat03",100,100,100,97.2432,85.1568,93.724,"Random Forest","RF 1"
"Repeat04",100,100,100,97.3902,85.5012,93.932,"Random Forest","RF 1"
"Repeat05",100,100,100,96.9512,86.203,93.8244,"Random Forest","RF 1"
"Repeat06",100,100,100,97.2432,85.1254,93.7212,"Random Forest","RF 1"
"Repeat07",100,100,100,97.389,84.1038,93.523,"Random Forest","RF 1"
"Repeat08",100,100,100,96.6624,86.203,93.6166,"Random Forest","RF 1"
"Repeat09",100,100,100,97.5332,84.4674,93.7288,"Random Forest","RF 1"
"Repeat10",100,100,100,96.9532,86.2218,93.8266,"Random Forest","RF 1"
"Repeat11",100,100,100,96.6622,85.5074,93.4182,"Random Forest","RF 1"
"Repeat12",100,100,100,97.242,85.8332,93.9268,"Random Forest","RF 1"
"Repeat13",100,100,100,97.244,85.1444,93.724,"Random Forest","RF 1"
"Repeat14",100,100,100,97.387,85.1316,93.824,"Random Forest","RF 1"
"Repeat15",100,100,100,97.2412,85.8712,93.9276,"Random Forest","RF 1"
"Repeat16",100,100,100,97.244,85.52,93.8294,"Random Forest","RF 1"
"Repeat17",100,100,100,97.2422,86.2094,94.0328,"Random Forest","RF 1"
"Repeat18",100,100,100,97.2432,86.5414,94.1326,"Random Forest","RF 1"
"Repeat19",100,100,100,97.2452,85.8774,93.9332,"Random Forest","RF 1"
"Repeat20",100,100,100,97.2442,85.8586,93.9298,"Random Forest","RF 1"
"Repeat01",97.824,98.4376,97.994,94.5472,93.1484,94.139,"Random Forest","RF 2"
"Repeat02",99.1422,99.083,99.1248,93.8232,91.1806,93.1098,"Random Forest","RF 2"
"Repeat03",98.248,98.442,98.3026,94.3806,92.6672,93.8266,"Random Forest","RF 2"
"Repeat04",98.9242,98.9982,98.9452,94.3734,92.4688,93.8276,"Random Forest","RF 2"
"Repeat05",98.992,99.009,98.9966,94.3744,92.4992,93.8244,"Random Forest","RF 2"
"Repeat06",98.4602,98.7226,98.5334,94.2586,90.6018,93.2066,"Random Forest","RF 2"
"Repeat07",99.0728,99.3522,99.151,93.4588,92.2156,93.1118,"Random Forest","RF 2"
"Repeat08",99.1776,99.36,99.2286,94.364,90.9676,93.411,"Random Forest","RF 2"
"Repeat09",98.6728,98.9096,98.7394,94.1126,92.8052,93.7282,"Random Forest","RF 2"
"Repeat10",99.5654,99.2046,99.4598,94.0452,90.084,92.9018,"Random Forest","RF 2"
"Repeat11",98.852,98.6424,98.7916,94.1134,91.596,93.418,"Random Forest","RF 2"
"Repeat12",98.5748,98.9814,98.688,94.395,90.8338,93.3102,"Random Forest","RF 2"
"Repeat13",99.3196,99.4562,99.3574,94.1226,92.8064,93.7244,"Random Forest","RF 2"
"Repeat14",98.896,98.9892,98.9196,94.1184,92.7632,93.7202,"Random Forest","RF 2"
"Repeat15",99.7834,99.731,99.7684,94.1236,90.4402,92.9996,"Random Forest","RF 2"
"Repeat16",98.6022,98.7268,98.6372,94.3818,92.0982,93.7272,"Random Forest","RF 2"
"Repeat17",99.1056,99.0884,99.1002,94.2164,91.3464,93.3106,"Random Forest","RF 2"
"Repeat18",99.0292,98.913,98.996,94.5056,92.021,93.8224,"Random Forest","RF 2"
"Repeat19",98.6716,98.7322,98.6884,94.1036,92.8038,93.7256,"Random Forest","RF 2"
"Repeat20",98.3502,98.5468,98.4052,94.1962,90.0374,93.005,"Random Forest","RF 2"
